N_OF_STATIONS, TIMESTAMP, CW_MIN, CW_MAX, SEED, P_COLL, THR, FAILED_TRANSMISSIONS, SUCCEEDED_TRANSMISSIONS
1, 1594201534.3103104, 15.0, 1023.0, 181.5, 0.0, 29.045739520000005, 0.0, 24665.2
2, 1594201558.256239, 15.0, 1023.0, 181.5, 0.10961000000000001, 29.692359680000003, 3104.6, 25214.3
3, 1594201574.0376518, 15.0, 1023.0, 181.5, 0.17829, 29.49876224, 5435.1, 25049.9
4, 1594201586.176146, 15.0, 1023.0, 181.5, 0.22802000000000003, 29.137239039999997, 7309.2, 24742.9
5, 1594201596.3355784, 15.0, 1023.0, 181.5, 0.27080000000000004, 28.678446079999997, 9044.0, 24353.3
6, 1594201605.3579214, 15.0, 1023.0, 181.5, 0.30455000000000004, 28.259809279999995, 10508.7, 23997.8
7, 1594201612.248706, 15.0, 1023.0, 181.5, 0.33453000000000005, 27.846353920000006, 11887.5, 23646.7
8, 1594201617.868396, 15.0, 1023.0, 181.5, 0.35915, 27.469757440000002, 13073.1, 23326.9
9, 1594201621.1833348, 15.0, 1023.0, 181.5, 0.38239, 27.0971648, 14246.5, 23010.5
10, 1594201622.9445999, 15.0, 1023.0, 181.5, 0.40311, 26.725278720000006, 15327.8, 22694.7
