N_OF_STATIONS,TIMESTAMP,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,THR_STD
1,1598524644.1681533,15.0,1023.0,181.5,0.0,29.039957504,0.0,246602.9,0.004988865488386293
2,1598524815.7899234,15.0,1023.0,181.5,0.11051,29.669090304,31298.8,251945.4,0.01233769171491814
3,1598524954.6257622,15.0,1023.0,181.5,0.17703000000000002,29.513753087999998,53914.1,250626.3,0.023502295355572533
4,1598525090.6840796,15.0,1023.0,181.5,0.22613,29.149262336,72331.0,247531.1,0.008136610987638264
5,1598525182.4998717,15.0,1023.0,181.5,0.26449,28.757192191999998,87818.7,244201.7,0.01965796978888527
6,1598525244.7066257,15.0,1023.0,181.5,0.29479,28.393372671999998,100792.9,241112.2,0.01669082013146422
7,1598525297.649187,15.0,1023.0,181.5,0.31986,28.05614336,112038.2,238248.5,0.01984288031393284
8,1598525363.3473992,15.0,1023.0,181.5,0.34146,27.741406208,122155.5,235575.8,0.015888709784176735
9,1598525389.2603085,15.0,1023.0,181.5,0.35949,27.467849727999997,130913.7,233252.8,0.01470159700114061
10,1598525399.7870088,15.0,1023.0,181.5,0.37514000000000003,27.215678464,138752.8,231111.4,0.02633639500016399
